tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
vehiculo,15,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1939.098595368455,320.66034741933805,6.498845489271385
vehiculo,15,308512670,,truck2,4.651888866646209,0.0,1.0,1479.358049584531,695.1191075781461,5.506960428983438
vehiculo,15,308495742,,veh1,3.3050970365452983,0.0,0.0,2049.661151519123,1243.9081788869555,13.636035170750507
vehiculo,15,308512659,,veh2,3.892732855040421,0.0,1.0,237.90790525105228,446.34003531257065,13.008905891412486
vehiculo,15,joinedS_308495840_308495841,,veh3,2.400176748202652,0.0,0.0,1813.678092774922,53.407625610489234,11.05393328211511
vehiculo,15,joinedS_308495840_308495841,,veh4,3.511326144957634,0.0,1.0,1988.3089765947134,247.89722498354706,15.42735680948274
vehiculo,15,308495742,,veh5,4.839774999223755,0.0,1.0,1534.833840313322,1212.0442075076562,11.686562419077381
vehiculo,15,joinedS_308495840_308495841,,veh6,3.4058162084208625,0.0,1.0,1551.525298713259,121.54477626405334,7.2143269490683455
vehiculo,15,308512668,,veh7,2.090390804828605,0.0,1.0,1866.584972299749,981.1594134325852,5.5803712332388375
semaforo,15,308495742,0.0,,,,,,,
semaforo,15,308512653,0.0,,,,,,,
semaforo,15,308512659,0.0,,,,,,,
semaforo,15,308512668,0.0,,,,,,,
semaforo,15,308512669,0.0,,,,,,,
semaforo,15,308512670,0.0,,,,,,,
semaforo,15,308512701,0.0,,,,,,,
semaforo,15,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,15,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,16,joinedS_308495840_308495841,,truck1,0.0,0.0,0.0,1933.4198006154816,316.2214890036037,7.66629133972519
vehiculo,16,308512670,,truck2,5.183679830116477,0.0,1.0,1485.900765012117,694.5201583363255,6.5704087796271775
vehiculo,16,308495742,,veh1,3.362252762458869,0.0,0.0,2036.9659917769986,1241.1193579158269,12.997886164807529
vehiculo,16,308512659,,veh2,4.310973864722897,0.0,1.0,246.39388381099582,445.71813144647547,8.508905891412486
vehiculo,16,joinedS_308495840_308495841,,veh3,2.4861859846851715,0.0,0.0,1803.1851972996737,54.2855770554981,10.529508116340809
vehiculo,16,joinedS_308495840_308495841,,veh4,3.552600076229604,0.0,1.0,1972.5268174748414,247.4608665981944,15.788285560196096
vehiculo,16,308495742,,veh5,5.519470527025485,0.0,1.0,1545.564100982057,1216.8992421173461,11.774800465906008
vehiculo,16,joinedS_308495840_308495841,,veh6,4.127058680501516,0.0,1.0,1543.0138045839071,122.33080362151539,8.541504190536216
vehiculo,16,308512668,,veh7,2.51932641430607,0.0,1.0,1864.5690762919871,988.3653356795763,7.482335199764928
vehiculo,16,308495742,,veh9,0.0,0.0,1.0,1486.5655327497736,1147.5759191065501,0.0
semaforo,16,308495742,0.0,,,,,,,
semaforo,16,308512653,0.0,,,,,,,
semaforo,16,308512659,0.0,,,,,,,
semaforo,16,308512668,0.0,,,,,,,
semaforo,16,308512669,0.0,,,,,,,
semaforo,16,308512670,0.0,,,,,,,
semaforo,16,308512701,0.0,,,,,,,
semaforo,16,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,16,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,17,joinedS_308495840_308495841,,truck1,4.8161772788517965,0.0,0.0,1934.410978508091,308.9441737251823,7.390990504655037
vehiculo,17,308512670,,truck2,5.623991523629968,0.0,1.0,1493.7218044021936,693.8041856389369,7.854143504041712
vehiculo,17,308495742,,truck4,0.0,0.0,1.0,1654.4632208922742,1275.08281828074,0.0
vehiculo,17,308495742,,veh1,3.3991565196423945,0.0,0.0,2023.998144396855,1238.2706340353277,13.27707626162544
vehiculo,17,308512653,,veh10,0.0,0.0,1.0,882.0084975369458,964.1657019704434,0.0
vehiculo,17,308512659,,veh2,0.0,0.0,1.0,250.56288871435842,445.8542659726028,4.180643124675653
vehiculo,17,joinedS_308495840_308495841,,veh3,2.5261242546911173,0.0,0.0,1792.1633929393704,55.207782855370915,11.06026251212469
vehiculo,17,joinedS_308495840_308495841,,veh4,3.5820759020007564,0.0,1.0,1956.5510004248727,246.98606226005643,15.982576572813855
vehiculo,17,308495742,,veh5,0.5768657120352572,0.0,1.0,1552.3084618093148,1219.8391418456697,7.360731743437207
